	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	527	1659	1275	800	1618	1069	1399	1058	1019	743	1621	1668	
core2	720	381	1049	1012	1234	867	1758	934	997	1234	1054	877	
core3	675	723	1534	1074	1265	1228	1292	1654	492	658	311	575	
core4	1712	1498	1590	708	915	1003	868	699	1073	1571	1538	1558	
core5	1750	1585	428	567	1043	589	1285	635	1797	1084	1132	1757	
core6	605	962	691	1548	917	482	1707	873	1717	407	1130	1267	
core7	630	1181	618	1443	1048	1010	716	789	1476	390	874	1279	
core8	1324	1178	1082	886	1612	835	818	1613	1097	1599	1536	1728	
core9	1115	1605	1223	1241	599	1755	1651	1558	624	569	1232	1082	
core10	450	1496	350	816	613	565	1039	1063	302	583	1381	407	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1658	1455	1722	1330	1312	1314	1406	1668	855	1334	766	769	
core2	1176	1100	1409	341	1414	1731	496	326	1041	536	735	731	
core3	521	366	1633	1666	1436	819	663	971	1675	1352	1586	431	
core4	523	1543	693	778	932	635	875	677	1149	721	591	1671	
core5	672	974	1315	817	1647	936	1727	1231	1503	675	901	1190	
core6	819	1283	1156	1479	327	1499	506	1208	988	1345	789	1481	
core7	1090	870	808	1561	1510	1344	685	1795	1077	1395	890	864	
core8	514	328	502	553	1743	517	1159	482	1553	1331	728	1747	
core9	1565	1070	525	1557	865	939	1442	1077	1206	874	567	757	
core10	1097	601	835	990	538	1089	1393	483	816	1604	1210	1770	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	546	1465	792	746	680	1142	1123	1140	882	799	1597	1347	
core2	971	427	1726	585	300	781	1609	490	1558	871	1744	1699	
core3	500	712	1794	604	450	1108	348	1381	381	388	1707	602	
core4	924	1052	1359	1697	589	382	719	1422	1387	1373	424	779	
core5	994	1382	859	1620	875	1191	349	721	449	1097	1405	532	
core6	966	1545	1079	1254	1733	964	1690	1023	642	987	1578	399	
core7	625	1262	818	600	381	1501	571	1296	1306	1701	779	1105	
core8	999	1498	624	327	1323	858	1433	1226	1535	1647	779	322	
core9	510	538	1452	1457	720	1578	1665	1081	1698	1734	309	449	
core10	1128	1109	478	810	1398	391	1771	1761	1676	1615	1785	1456	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1591	1659	340	1232	916	1571	743	414	337	1654	770	715	
core2	1026	1002	1014	840	574	1609	1664	1407	849	1576	1484	1474	
core3	1487	375	1027	416	905	874	906	1768	1645	1624	1274	1109	
core4	1278	631	1508	1322	1433	1643	1414	1410	423	746	755	1603	
core5	1354	1370	1397	1527	1552	1733	1454	744	416	421	1585	1636	
core6	425	634	338	322	1554	1023	597	335	935	1535	1075	1298	
