	task1	task2	task3	task4	task5	task6	task7	task8	
core1	408	670	1643	1552	1799	890	1208	1336	
core2	1346	906	372	365	685	973	786	469	
core3	1713	953	1362	1285	356	1315	549	301	
core4	1180	1572	551	1224	459	1014	1156	952	
core5	377	1694	569	786	1072	1269	905	736	
core6	1051	1436	1547	1044	737	342	712	1124	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	1320	797	719	337	1725	533	856	554	
core2	1155	1234	745	834	1629	1011	1736	941	
core3	567	1722	1488	1379	621	1569	1759	1590	
core4	632	1511	1066	954	459	508	1601	1254	
core5	1056	591	1492	474	432	944	1074	1755	
core6	621	426	1354	781	1341	1660	1679	889	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	1659	1389	1688	1229	1201	512	887	1501	
core2	402	1162	363	873	620	598	670	779	
core3	1716	1450	1315	1763	1781	1481	1780	1384	
core4	596	433	1765	1650	592	1183	1663	1713	
core5	955	1605	1551	869	1705	352	1099	1149	
core6	561	1455	1510	1646	671	1263	535	1059	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	494	562	1384	818	1277	649	793	1449	
core2	1158	770	496	873	588	503	722	1232	
core3	382	953	957	1657	1596	865	1781	836	
core4	1343	730	1210	439	381	450	520	414	
core5	490	599	1411	1248	1740	1517	1452	1466	
core6	901	1658	852	1191	1106	1425	363	1309	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	814	1515	847	1618	1123	923	425	1380	
core2	900	833	412	631	1364	1306	830	573	
core3	343	1565	1553	1364	1659	820	575	1506	
core4	1775	1130	1486	1305	1337	656	661	895	
core5	339	905	588	1618	1753	1013	1236	842	
core6	1190	917	363	760	1614	1475	580	1359	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	895	1655	1028	1714	435	1048	958	1436	
core2	702	769	471	572	467	1711	670	1624	
core3	1559	607	1765	364	1581	1368	1767	1591	
core4	1528	1631	699	398	912	1224	1216	1676	
core5	899	665	712	1561	1277	434	1108	1095	
core6	607	504	400	1521	1595	1238	1540	1639	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	609	1610	1002	1191	779	1227	1503	543	
core2	968	1460	1042	1789	1406	1639	1388	389	
core3	1295	1306	913	1330	1636	856	423	1290	
core4	560	987	1017	1546	991	1036	951	1128	
core5	470	1718	529	374	1681	333	1671	1150	
core6	1311	1002	671	354	1269	1079	1093	1150	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	1221	668	1557	1412	1770	942	307	1159	
core2	926	1514	1472	729	1594	668	530	1111	
core3	1281	427	684	1741	608	1287	1022	1379	
core4	1192	906	384	1094	1143	1512	1702	558	
core5	1417	587	1325	1627	396	1780	1492	694	
core6	712	414	712	1630	1131	1426	776	1655	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	1573	396	1457	1615	1185	1357	368	314	
core2	1721	1776	1150	589	896	629	1139	1452	
core3	1672	968	1514	709	1264	608	1401	1419	
core4	1494	304	997	1306	1052	1188	1125	1524	
core5	1601	1709	787	573	626	1226	606	1684	
core6	891	537	1031	631	1048	347	586	1622	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	1437	495	942	903	543	479	1291	1260	
core2	1271	1540	1121	318	337	1281	1437	1580	
core3	594	1151	1644	407	1759	1603	1467	806	
core4	610	1352	871	1086	580	1548	1728	695	
core5	914	888	1507	1250	1469	1352	642	601	
core6	1665	1480	1088	520	1426	480	1715	1597	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	697	1654	1698	760	393	1779	1259	1469	
core2	983	1129	1601	394	1735	1647	1195	1284	
core3	713	1052	1732	909	1524	1239	1374	602	
core4	868	1551	408	568	1527	725	923	1139	
core5	906	672	974	527	389	1630	1741	1689	
core6	1567	1017	1559	1174	901	1579	1606	761	

